STATION,NAME,DATE,TMAX,TMIN,Avg Temp
USC00367938,"SELLERSVILLE, PA US",1/28/2017,41,19,31
USC00367938,"SELLERSVILLE, PA US",1/29/2017,36,24,31
USC00367938,"SELLERSVILLE, PA US",1/30/2017,42,26,28
USC00367938,"SELLERSVILLE, PA US",1/31/2017,36,16,23
USC00367938,"SELLERSVILLE, PA US",2/1/2017,37,23,28
USC00367938,"SELLERSVILLE, PA US",2/2/2017,46,21,31
USC00367938,"SELLERSVILLE, PA US",2/3/2017,43,19,23
USC00367938,"SELLERSVILLE, PA US",2/4/2017,32,17,18
USC00367938,"SELLERSVILLE, PA US",2/5/2017,34,18,26
USC00367938,"SELLERSVILLE, PA US",2/6/2017,42,17,36
USC00367938,"SELLERSVILLE, PA US",2/7/2017,52,29,38
USC00367938,"SELLERSVILLE, PA US",2/8/2017,50,33,34
USC00367938,"SELLERSVILLE, PA US",2/9/2017,63,26,27
USC00367938,"SELLERSVILLE, PA US",2/10/2017,33,16,19
USC00367938,"SELLERSVILLE, PA US",2/11/2017,31,16,31
USC00367938,"SELLERSVILLE, PA US",2/12/2017,55,31,34
USC00367938,"SELLERSVILLE, PA US",2/13/2017,51,27,34
USC00367938,"SELLERSVILLE, PA US",2/14/2017,39,20,23
USC00367938,"SELLERSVILLE, PA US",2/15/2017,46,23,28
USC00367938,"SELLERSVILLE, PA US",2/16/2017,51,28,31
USC00367938,"SELLERSVILLE, PA US",2/17/2017,37,19,24
USC00367938,"SELLERSVILLE, PA US",2/18/2017,44,17,26
USC00367938,"SELLERSVILLE, PA US",2/19/2017,68,26,46
USC00367938,"SELLERSVILLE, PA US",2/20/2017,67,31,42
USC00367938,"SELLERSVILLE, PA US",2/21/2017,54,24,30
USC00367938,"SELLERSVILLE, PA US",2/22/2017,50,30,40
USC00367938,"SELLERSVILLE, PA US",2/23/2017,61,32,41
USC00367938,"SELLERSVILLE, PA US",2/24/2017,72,40,47
USC00367938,"SELLERSVILLE, PA US",2/25/2017,73,47,58
USC00367938,"SELLERSVILLE, PA US",2/26/2017,71,33,34
USC00367938,"SELLERSVILLE, PA US",2/27/2017,42,19,29
USC00367938,"SELLERSVILLE, PA US",2/28/2017,54,29,40
USC00367938,"SELLERSVILLE, PA US",3/1/2017,64,40,57
USC00367938,"SELLERSVILLE, PA US",3/2/2017,57,40,41
USC00367938,"SELLERSVILLE, PA US",3/3/2017,44,21,29
USC00367938,"SELLERSVILLE, PA US",3/4/2017,39,16,22
USC00367938,"SELLERSVILLE, PA US",3/5/2017,32,8,10
USC00367938,"SELLERSVILLE, PA US",3/6/2017,37,10,27
USC00367938,"SELLERSVILLE, PA US",3/7/2017,51,27,38
USC00367938,"SELLERSVILLE, PA US",3/8/2017,59,38,46
USC00367938,"SELLERSVILLE, PA US",3/9/2017,61,44,52
USC00367938,"SELLERSVILLE, PA US",3/10/2017,63,32,33
USC00367938,"SELLERSVILLE, PA US",3/11/2017,38,10,16
USC00367938,"SELLERSVILLE, PA US",3/12/2017,30,13,14
USC00367938,"SELLERSVILLE, PA US",3/13/2017,31,9,11
USC00367938,"SELLERSVILLE, PA US",3/14/2017,38,11,24
USC00367938,"SELLERSVILLE, PA US",3/15/2017,26,8,19
USC00367938,"SELLERSVILLE, PA US",3/16/2017,29,18,23
USC00367938,"SELLERSVILLE, PA US",3/17/2017,39,15,18
USC00367938,"SELLERSVILLE, PA US",3/18/2017,43,17,32
USC00367938,"SELLERSVILLE, PA US",3/19/2017,36,32,34
USC00367938,"SELLERSVILLE, PA US",3/20/2017,49,31,35
USC00367938,"SELLERSVILLE, PA US",3/21/2017,50,33,38
USC00367938,"SELLERSVILLE, PA US",3/22/2017,57,32,33
USC00367938,"SELLERSVILLE, PA US",3/23/2017,36,11,21
USC00367938,"SELLERSVILLE, PA US",3/24/2017,44,21,31
USC00367938,"SELLERSVILLE, PA US",3/25/2017,55,31,41
USC00367938,"SELLERSVILLE, PA US",3/26/2017,69,40,40
USC00367938,"SELLERSVILLE, PA US",3/27/2017,42,39,41
USC00367938,"SELLERSVILLE, PA US",3/28/2017,57,40,47
USC00367938,"SELLERSVILLE, PA US",3/29/2017,52,42,43
USC00367938,"SELLERSVILLE, PA US",3/30/2017,58,30,34
USC00367938,"SELLERSVILLE, PA US",3/31/2017,49,34,37
USC00367938,"SELLERSVILLE, PA US",4/1/2017,41,36,40
USC00367938,"SELLERSVILLE, PA US",4/2/2017,50,32,40
USC00367938,"SELLERSVILLE, PA US",4/3/2017,62,35,41
USC00367938,"SELLERSVILLE, PA US",4/4/2017,66,41,57
USC00367938,"SELLERSVILLE, PA US",4/5/2017,73,49,53
USC00367938,"SELLERSVILLE, PA US",4/6/2017,66,43,43
USC00367938,"SELLERSVILLE, PA US",4/7/2017,50,40,41
USC00367938,"SELLERSVILLE, PA US",4/8/2017,47,32,36
USC00367938,"SELLERSVILLE, PA US",4/9/2017,58,28,29
USC00367938,"SELLERSVILLE, PA US",4/10/2017,67,29,41
USC00367938,"SELLERSVILLE, PA US",4/11/2017,79,41,52
USC00367938,"SELLERSVILLE, PA US",4/12/2017,84,50,56
USC00367938,"SELLERSVILLE, PA US",4/13/2017,74,40,46
USC00367938,"SELLERSVILLE, PA US",4/14/2017,62,37,45
USC00367938,"SELLERSVILLE, PA US",4/15/2017,67,38,51
USC00367938,"SELLERSVILLE, PA US",4/16/2017,65,50,53
USC00367938,"SELLERSVILLE, PA US",4/17/2017,85,53,61
USC00367938,"SELLERSVILLE, PA US",4/18/2017,72,42,52
USC00367938,"SELLERSVILLE, PA US",4/19/2017,68,42,45
USC00367938,"SELLERSVILLE, PA US",4/20/2017,59,45,52
USC00367938,"SELLERSVILLE, PA US",4/21/2017,73,49,50
USC00367938,"SELLERSVILLE, PA US",4/22/2017,60,50,54
USC00367938,"SELLERSVILLE, PA US",4/23/2017,56,39,42
USC00367938,"SELLERSVILLE, PA US",4/24/2017,66,42,55
USC00367938,"SELLERSVILLE, PA US",4/25/2017,59,50,51
USC00367938,"SELLERSVILLE, PA US",4/26/2017,57,51,56
USC00367938,"SELLERSVILLE, PA US",4/27/2017,65,55,61
USC00367938,"SELLERSVILLE, PA US",4/28/2017,79,57,63
USC00367938,"SELLERSVILLE, PA US",4/29/2017,82,59,65
USC00367938,"SELLERSVILLE, PA US",4/30/2017,83,58,59
USC00367938,"SELLERSVILLE, PA US",5/1/2017,68,50,51
USC00367938,"SELLERSVILLE, PA US",5/2/2017,81,51,63
USC00367938,"SELLERSVILLE, PA US",5/3/2017,71,55,56
USC00367938,"SELLERSVILLE, PA US",5/4/2017,70,40,47
