Day of week,Date,distance,pace,time,pace
Sunday,4/24/2011,6.55,9:12,1:00:16,0:09:12
Sunday,5/1/2011,6.56,9:27,1:02:02,0:09:27
Sunday,5/8/2011,6.53,9:25,1:01:36,0:09:25
Wednesday,5/11/2011,3.65,9:12,33:40,0:09:12
Sunday,5/15/2011,6.58,9:17,1:01:08,0:09:17
Sunday,5/22/2011,6.58,9:26,1:02:09,0:09:26
Friday,5/27/2011,6.02,9:26,56:51,0:09:26
Sunday,6/5/2011,6.51,9:18,1:00:31,0:09:18
Sunday,6/12/2011,6.47,9:40,1:02:40,0:09:40
Sunday,6/19/2011,6.53,9:50,1:04:12,0:09:50
Sunday,6/26/2011,6.58,9:29,1:02:26,0:09:29
Sunday,7/10/2011,6.54,9:15,1:00:35,0:09:15
Sunday,8/7/2011,6,9:51,59:14,0:09:51
Tuesday,8/16/2011,3.61,9:04,32:48,0:09:04
Sunday,8/21/2011,6.52,9:38,1:02:47,0:09:38
Friday,8/26/2011,6.04,8:53,53:43,0:08:53
Sunday,8/28/2011,6.55,9:10,1:00:04,0:09:10
Sunday,9/4/2011,5.1,9:19,47:33,0:09:19
Sunday,9/11/2011,5.13,8:41,44:33,0:08:41
Sunday,9/18/2011,5.1,8:19,42:27,0:08:19
Sunday,9/25/2011,5.1,8:44,44:33,0:08:44
Sunday,10/2/2011,5.28,8:31,44:59,0:08:31
Sunday,10/9/2011,5.12,8:22,42:51,0:08:22
Sunday,10/16/2011,5.04,8:49,44:25,0:08:49
Sunday,10/23/2011,5.18,8:22,43:20,0:08:22
Sunday,11/6/2011,5.19,8:22,43:26,0:08:22
Sunday,11/13/2011,5,8:29,42:30,0:08:29
Sunday,11/20/2011,5.19,8:23,43:37,0:08:23
Friday,11/25/2011,5.19,8:41,45:07,0:08:41
Sunday,11/27/2011,5.17,8:10,42:14,0:08:10
Sunday,12/4/2011,5.01,8:46,43:55,0:08:46
Sunday,12/11/2011,5.07,8:12,41:39,0:08:12
Sunday,12/18/2011,5.21,8:18,43:17,0:08:18
Friday,12/30/2011,5,8:03,40.19,0:08:03
Monday,1/2/2012,5.17,8:26,43:36,0:08:26
Sunday,1/8/2012,5.07,8:31,43:14,0:08:31
Sunday,1/15/2012,5.09,8:27,43:02,0:08:27
Sunday,1/29/2012,5.22,8:35,44:49,0:08:35
Sunday,2/19/2012,5.17,8:35,44:24,0:08:35
Sunday,2/26/2012,5.21,8:53,46:18,0:08:53
Sunday,3/4/2012,5.06,8:25,42:42,0:08:25
Sunday,3/11/2012,5.11,8:35,43:53,0:08:35
Sunday,3/18/2012,5.04,8:26,42:32,0:08:26
Sunday,3/25/2012,7.51,8:44,1:05:37,0:08:44
Sunday,4/1/2012,5.07,8:21,42:18,0:08:21
Sunday,4/8/2012,5.08,8:36,43:46,0:08:36
Sunday,4/15/2012,5.09,8:45,44:32,0:08:45
